2026-06-30 12:58:00 [Trigger] Trigger app started; polling http://127.0.0.1:5000/monitor-data
2026-06-30 12:58:00 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:58:00.227311+00:00", "flight_number": "CD5678", "simple_status": "Parked", "new_error_type": "Cabin Pressure", "new_error_message": "Flight CD5678: Cabin Pressure current=15.48 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 15.48, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight CD5678: Cabin Pressure current=15.48 expected min=10.9 max=14.7", "first_detected": "2026-06-30T10:58:00.227302+00:00"}]}
2026-06-30 12:58:14 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:58:14.690940+00:00", "flight_number": "WX8642", "simple_status": "Takeoff/Landing", "new_error_type": "Autopilot Status", "new_error_message": "Flight WX8642: Autopilot Status current=ON expected=OFF for status=Takeoff/Landing", "triggered_parameter": "Autopilot Status", "recorded_value": "ON", "issue_description": "Autopilot status does not match the required state (OFF) for flight status Takeoff/Landing.", "active_errors_for_flight": [{"error_type": "Autopilot Status", "message": "Flight WX8642: Autopilot Status current=ON expected=OFF for status=Takeoff/Landing", "first_detected": "2026-06-30T10:58:14.690929+00:00"}]}
2026-06-30 12:58:35 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:58:35.476405+00:00", "flight_number": "CD5678", "simple_status": "Parked", "new_error_type": "WiFi Usage", "new_error_message": "Flight CD5678: WiFi Usage current=41 expected max=0 for status=Parked", "triggered_parameter": "WiFi Usage", "recorded_value": 41, "issue_description": "Abnormal system usage pattern detected: Wi-Fi activity is present when it should be disabled.", "active_errors_for_flight": [{"error_type": "WiFi Usage", "message": "Flight CD5678: WiFi Usage current=41 expected max=0 for status=Parked", "first_detected": "2026-06-30T10:58:35.476395+00:00"}]}
2026-06-30 12:58:57 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:58:57.306768+00:00", "flight_number": "UV9753", "simple_status": "Takeoff/Landing", "new_error_type": "Cabin Pressure", "new_error_message": "Flight UV9753: Cabin Pressure current=15.05 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 15.05, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight UV9753: Cabin Pressure current=15.05 expected min=10.9 max=14.7", "first_detected": "2026-06-30T10:58:57.306759+00:00"}]}
2026-06-30 12:59:17 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:59:17.167658+00:00", "flight_number": "CD5678", "simple_status": "Parked", "new_error_type": "Cabin Pressure", "new_error_message": "Flight CD5678: Cabin Pressure current=10.47 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 10.47, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight CD5678: Cabin Pressure current=10.47 expected min=10.9 max=14.7", "first_detected": "2026-06-30T10:59:17.167648+00:00"}]}
2026-06-30 12:59:38 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:59:38.860799+00:00", "flight_number": "ST1357", "simple_status": "Takeoff/Landing", "new_error_type": "Cabin Pressure", "new_error_message": "Flight ST1357: Cabin Pressure current=15.33 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 15.33, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight ST1357: Cabin Pressure current=15.33 expected min=10.9 max=14.7", "first_detected": "2026-06-30T10:59:38.860790+00:00"}]}
2026-06-30 12:59:59 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T10:59:59.680790+00:00", "flight_number": "NP6789", "simple_status": "Taxiing", "new_error_type": "Autopilot Status", "new_error_message": "Flight NP6789: Autopilot Status current=ON expected=OFF for status=Taxiing", "triggered_parameter": "Autopilot Status", "recorded_value": "ON", "issue_description": "Autopilot status does not match the required state (OFF) for flight status Taxiing.", "active_errors_for_flight": [{"error_type": "Autopilot Status", "message": "Flight NP6789: Autopilot Status current=ON expected=OFF for status=Taxiing", "first_detected": "2026-06-30T10:59:59.680781+00:00"}]}
2026-06-30 13:00:20 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T11:00:20.459234+00:00", "flight_number": "UV9753", "simple_status": "Takeoff/Landing", "new_error_type": "Cabin Pressure", "new_error_message": "Flight UV9753: Cabin Pressure current=9.88 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 9.88, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight UV9753: Cabin Pressure current=9.88 expected min=10.9 max=14.7", "first_detected": "2026-06-30T11:00:20.459225+00:00"}]}
2026-06-30 13:00:42 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T11:00:42.173565+00:00", "flight_number": "CC6401", "simple_status": "Cruise", "new_error_type": "Autopilot Status", "new_error_message": "Flight CC6401: Autopilot Status current=OFF expected=ON for status=Cruise", "triggered_parameter": "Autopilot Status", "recorded_value": "OFF", "issue_description": "Autopilot status does not match the required state (ON) for flight status Cruise.", "active_errors_for_flight": [{"error_type": "Autopilot Status", "message": "Flight CC6401: Autopilot Status current=OFF expected=ON for status=Cruise", "first_detected": "2026-06-30T11:00:42.173556+00:00"}]}
2026-06-30 13:01:03 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T11:01:03.020135+00:00", "flight_number": "YZ7531", "simple_status": "Takeoff/Landing", "new_error_type": "Autopilot Status", "new_error_message": "Flight YZ7531: Autopilot Status current=ON expected=OFF for status=Takeoff/Landing", "triggered_parameter": "Autopilot Status", "recorded_value": "ON", "issue_description": "Autopilot status does not match the required state (OFF) for flight status Takeoff/Landing.", "active_errors_for_flight": [{"error_type": "Autopilot Status", "message": "Flight YZ7531: Autopilot Status current=ON expected=OFF for status=Takeoff/Landing", "first_detected": "2026-06-30T11:01:03.020127+00:00"}]}
2026-06-30 13:01:22 [Trigger] NOTIFICATION {"timestamp": "2026-06-30T11:01:22.972773+00:00", "flight_number": "QR2468", "simple_status": "Taxiing", "new_error_type": "Cabin Pressure", "new_error_message": "Flight QR2468: Cabin Pressure current=15.14 expected min=10.9 max=14.7", "triggered_parameter": "Cabin Pressure", "recorded_value": 15.14, "issue_description": "Cabin pressure is outside the configured safe operational range.", "active_errors_for_flight": [{"error_type": "Cabin Pressure", "message": "Flight QR2468: Cabin Pressure current=15.14 expected min=10.9 max=14.7", "first_detected": "2026-06-30T11:01:22.972758+00:00"}]}
